Fecha,Dato Fraudulento,Institucion Afectada,Tipo de Fraude,Validacion,Q
2020-11-09,facebook: impulso economico,"impulso economico activo, s.a. de c.v., sofom, e.n.r.",suplantacion de institucion financiera,instituciones financieras,2020Q4
2020-11-05,facebook: creavanza,"grupo asesor creavanza, s.a.p.i. de c.v., sofom, e.n.r.",suplantacion de institucion financiera,instituciones financieras,2020Q4
2020-10-29,facebook: credileal,"emprende capital, s.a.p.i. de c.v., sofom, e.n.r.",suplantacion de institucion financiera,instituciones financieras,2020Q4
2020-10-28,"facebook: patrimoniales, s.a.p.i. de cv sofom enr","soluciones patrimoniales cufrisa, s.a. de c.v., sofom, e.n.r.",suplantacion de institucion financiera,instituciones financieras,2020Q4
2020-10-16,facebook: financiera logros economicos s.a de c.v,"grt logros, s.a. de c.v., sofom, e.n.r.",suplantacion de institucion financiera,instituciones financieras,2020Q4
2020-09-28,https://www.facebook.com/leprestamosmx,"totem prestamos, s.a. de c.v., sofom, e.n.r.",suplantacion de institucion financiera,instituciones financieras,2020Q3
2020-09-25,facebook: presto economic,"finadix, s.a. de c.v., sofom, e.n.r.",suplantacion de institucion financiera,instituciones financieras,2020Q3
2020-09-23,facebook: financiera centerfin s.a de c.v,"centerfin, s.a. de c.v. s.o.f.o.m, e.n.r",suplantacion de institucion financiera,instituciones financieras,2020Q3
2020-09-10,facebook: caja fama servicio financiero,"caja fama, s.c. de a.p. de r.l. de c.v.",suplantacion de institucion financiera,instituciones financieras,2020Q3
2020-09-08,facebook: crea soluciones reales,"soluciones patrimoniales cufrisa, s.a. de c.v., sofom, e.n.r.",suplantacion de institucion financiera,instituciones financieras,2020Q3
2020-09-03,facebook: credito mujer activa,"cooperativa de ahorro y prestamo caja popular atemajac, s.c. de a.p. de r.l. de c.v.",suplantacion de institucion financiera,instituciones financieras,2020Q3
2020-09-01,facebook: servicios logisticos financieros,"credito y logistica de capital, s.a. de c.v., sofom, e.n.r.",suplantacion de institucion financiera,instituciones financieras,2020Q3
2020-08-19,facebook alpha capital,"alphacredit capital,s.a. de c.v., sofom, e.n.r.",suplantacion de institucion financiera,instituciones financieras,2020Q3
2020-08-08,"https://www.facebook.com/starfinancial113621850425945,","proveedora de impulso empresarial, s.a.p.i. de c.v., sofom, e.n.r.",suplantacion de institucion financiera,instituciones financieras,2020Q3
2020-07-24,https://www.facebook.com/interopcion108355710922498,"inter opcion empresarial, s.a. de c.v., sofom, e.n.r.",suplantacion de institucion financiera,instituciones financieras,2020Q3
2020-07-08,facebook: https://www.facebook.com/creditonlinex,"grupo olinx, s.a.p.i. de c.v., sofom, e.n.r.",suplantacion de institucion financiera,instituciones financieras,2020Q3
2020-02-27,https://www.facebook.com/103074507769643/posts/103094654434295/?app=fbl,"caja solidaria san sebastian del oeste, s.c. de a.p. de r.l. de c.v.",redes sociales,instituciones financieras,2020Q1
2020-02-27,https://www.facebook.com/naomi.altunar.7?fref=sear,"crediclub, s.a. de c.v., s.f.p.",redes sociales,portal de fraudes financieros,2020Q1
2020-02-24,https://www.facebook.com/colectivofinancieronacion,sin dato preciso,redes sociales,portal de fraudes financieros,2020Q1
2020-01-28,https://www.facebook.com/sumemosslp/,sin dato preciso,redes sociales,portal de fraudes financieros,2020Q1
2020-01-21,https://www.facebook.com/distribuidoracrediapoyo,"baracaf, s.a. de c.v., sofom, e.n.r.",redes sociales,instituciones financieras,2020Q1
2020-01-07,facebook marketplace,"credito unico, s.a. de c.v., sofom, e.n.r.",redes sociales,instituciones financieras,2020Q1
2020-01-06,https://m.facebook.com/prestamosyfinancierafinqro110391440443116/,"finqro, s.a. de c.v., sofom, e.n.r.",redes sociales,instituciones financieras,2020Q1
2020-01-03,https://www.facebook.com/pr%c3%a9stamosmilagro22,"credi apoyos para crecer, s.a. de c.v., sofom, e.n.r.",redes sociales,portal de fraudes financieros,2020Q1
2020-01-03,https://www.facebook.com/grupomulticreditonacion,sin dato preciso,redes sociales,portal de fraudes financieros,2020Q1
